Provincia,PANEL.DATOS.2012.Y.2015,Cantidad.Encuestas.EVALUACION.FINAL,Departamento,Cantidad.Encuestas.Linea.de.Base.2012,Distrito,Oficina.Responsable,timestamp,length
Provincia,PANEL  DATOS  2012 Y 2015,Cantidad Encuestas -EVALUACIÓN FINAL,Departamento/,Cantidad Encuestas -Línea de Base 2012,Distrito,Oficina /  Responsable,,
"",753,754,Total de Encuestas Familiares,799,"","",,
"",193,193,Apurimac,200,"",Tamburco /,,
Aymaraes,193,193,Apurimac,200,"","",,
Aymaraes,24,24,Apurimac,24,Capaya,Juliana Arroyo Clemente,,
Aymaraes,26,26,Apurimac,28,Colcabamba,"",,
Aymaraes,55,55,Apurimac,55,Justo Apu Sahuaraura,"",,
Aymaraes,38,38,Apurimac,41,San Juan de Chacña,"",,
Aymaraes,33,33,Apurimac,35,Soraya,"",,
Aymaraes,17,17,Apurimac,17,Toraya,"",,
"",198,198,Arequipa,202,"",Quequeña /,,
Arequipa,49,49,Arequipa,49,"","",,
Arequipa,49,49,Arequipa,49,Quequeña,Franz Cruz Silva,,
La Unión,149,149,Arequipa,153,"","",,
La Unión,74,74,Arequipa,78,Sayla,"",,
La Unión,75,75,Arequipa,75,Tauria,"",,
"",196,197,Cusco,201,"",Paucartambo /,,
Paucartambo,196,197,Cusco,201,"","",,
Paucartambo,91,92,Cusco,93,Caicay,Rosalvina Huillca Chillpa,,
Paucartambo,71,71,Cusco,73,Challabamba,"",,
Paucartambo,34,34,Cusco,35,Paucartambo,"",,
"",166,166,Puno,196,"",Paucarcolla /,,
Puno,166,166,Puno,196,"","",,
Puno,134,134,Puno,156,Capachica,Jazmina Aguilar Calla,,
Puno,32,32,Puno,40,Tiquillaca,"",,
,,,,,,,1650994905285,25
